actor;sex;movies;actorProductivity;topMovie;topMovieRevenue;totalRevenue;avRevenue;birthday;launchdateTopMovie;comingMovie;dateComingMovie;Height;bornInCity;bornInCountry;MarrialStatus;Children;Dead;comingEvents;comingMovie2;dateComingMovie2;comingMovie3;dateComingMovie3
Amy Adams;Female;25;MiddleSegment 16-30 movies;Man of Steel;291;1685;67;1974-08-20;2013-06-14;Batman v. Superman: Dawn og Justice;2016-03-25;163;Vicenza;Italia;2015;1;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Ben Affleck;Male;35;UpperSegment 31-74 movies;Armageddon;202;1862;53;1972-08-15;1998-07-01;Batman v. Superman: Dawn og Justice;2016-03-25;192;Berkeley;California USA;2015;3;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Casey Affleck;Male;19;MiddleSegment 16-30 movies;Interstellar;188;822;43;1975-08-12;2014-11-05;The Finest Hourrs;2016-01-29;No info;Falmouth;Massachusetts USA;2006;2;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Dianna Agron;Female;3;LowerSegment 3-15 movies;I Am Number Four;55;132;44;1986-04-30;2011-02-18;No info;No info;166;Savannah;Georgia USA;No;No info;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Jessica Alba;Female;23;MiddleSegment 16-30 movies;Fantastic Four (2005);155;931;41;1981-04-28;2005-07-08;Mechanic: Resurrection;2016-08-26;169;Pomona;California USA;2008;2;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Alan Alda;Male;21;MiddleSegment 16-30 movies;What Women Want;183;681;32;1936-01-28;2000-12-15;Bridge of Spies;2015-10-16;No info;New York City;New York USA;1957;3;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Joan Allen;Female;23;MiddleSegment 16-30 movies;The Bourne Ultimatum;228;840;37;1956-08-20;2007-08-03;Room;2015-10-16;No info;Rochelle;Illinois USA;Earlier;1;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Tim Allen;Male;20;MiddleSegment 16-30 movies;Toy Story 3;415;1763;88;1953-06-13;2010-06-18;Toy Story 4;2017-06-17;No info;Denver;Colorado USA;2006;2;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Woody Allen;Male;27;MiddleSegment 16-30 movies;Antz;91;461;17;1935-12-01;1998-01-02;No info;No info;No info;New York City;New York USA;1997;5;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Gillian Anderson;Male;12;LowerSegment 3-15 movies;X-Files;84;146;12;1968-08-09;1998-06-19;No info;No info;160;Chicago;Illinois USA;Earlier;3;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Julie Andrews;Female;13;LowerSegment 3-15 movies;Sound of Music;159;664;51;1935-10-01;1965-03-02;No info;No info;No info;Walton-on-Thames;Great Britain;Earlier;3;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Jennifer Aniston;Female;29;MiddleSegment 16-30 movies;Bruce Almighty;243;1467;51;1969-02-11;2003-05-23;No info;No info;164;Los Angeles;California USA;2015;No info;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Aziz Ansari;Male;3;LowerSegment 3-15 movies;Epic;108;169;56;1983-02-23;2013-05-24;No info;No info;168;Columbia;South Carolina USA;Partner;No info;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Christina Applegate;Female;19;MiddleSegment 16-30 movies;Alvin and the Chipmunks 2;220;917;48;1971-11-25;2009-12-23;No info;No info;165;Los Angeles;California USA;2013;1;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Tom Arnold;Male;18;MiddleSegment 16-30 movies;True Lies;146;416;23;1959-03-06;1994-07-15;No info;No info;No info;Eldon;Missouri USA;2009;1;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Gemma Arterton;Female;12;LowerSegment 3-15 movies;Quantum of Solace;168;514;43;1986-02-02;2008-11-14;No info;No info;No info;Gravesend;Great Britain;Earlier;No info;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Kevin Bacon;Male;46;UpperSegment 31-74 movies;Apollo 13;174;1423;31;1958-07-08;1995-06-30;No info;No info;179;Philadelphia;Pennsylvania USA;1988;2;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Penn Badgley;Male;6;LowerSegment 3-15 movies;Easy A;58;135;22;1986-11-01;2010-09-17;No info;No info;175;Baltimore;Maryland USA;No;No info;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Alec Baldwin;Male;48;UpperSegment 31-74 movies;Pearl Harbor;199;2214;46;1958-04-03;2001-05-25;Concussion;2015-12-25;No info;Amityville;New York USA;2012;3;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Christian Bale;Male;34;UpperSegment 31-74 movies;The Dark Knight;535;2137;63;1974-01-30;2008-07-18;The Big Short;2015-12-11;183;Haverfordwest;Great Britain;2000;2;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Eric Bana;Male;16;MiddleSegment 16-30 movies;Star Trek;258;1029;64;1968-08-09;2009-05-08;No info;No info;189;Melbourne;Australia;1997;2;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Anne Bancroft;Female;28;MiddleSegment 16-30 movies;The Graduate;105;548;20;1931-09-17;1967-12-21;No info;No info;No info;New York City;New York USA;1964;1;2005-06-06;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Antonio Banderas;Male;42;UpperSegment 31-74 movies;Shrek 2;441;2374;57;1960-08-10;2004-05-19;The 33;2015-11-13;174;Malaga;Spain;Earlier;1;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Elizabeth Banks;Female;34;UpperSegment 31-74 movies;Catching Fire;425;2444;72;1974-02-10;2013-11-22;The Hunger Games: Mockingjay - Part 2;2015-11-20;165;Pittsfield;Massachusetts USA;2003;2;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Javier Bardem;Male;15;LowerSegment 3-15 movies;Skyfall;304;532;36;1969-03-01;2012-11-09;Pirates of the Caribbean 5: Dead men tell no tales;2017-07-07;181;Las Palmas de Gran Canaria;Spain;2010;2;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Ben Barnes;Male;5;LowerSegment 3-15 movies;The Chronicles of Narnia: Prince Caspian;142;288;58;1981-08-20;2008-05-16;No info;No info;185;London;Great Britain;No;No info;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Drew Barrymore;Female;34;UpperSegment 31-74 movies;E.T.;435;1612;47;1975-02-22;1982-06-11;Miss You Already;2015-11-06;163;Culver City;California USA;2012;2;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Justin Bartha;Male;11;LowerSegment 3-15 movies;The Hangover;277;1134;103;1978-07-21;2009-06-05;No info;No info;173;Fort Lauderdale;Florida USA;2014;1;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
Jay Baruchel;Male;18;MiddleSegment 16-30 movies;How to Train Your Dragon;218;1074;60;1982-04-09;2010-03-26;How to train your dragon 3;2018-06-29;No info;Ottawa;Canada;No;No info;Alive;check herfra og op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad;Check for flere kommende premierer - op ad
